Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
Bajaj Avenger 220 dtsi,2010,45000,95000,27000,Petrol,Individual,Manual,0
Hero Splender iSmart,2016,45000,54000,14000,Petrol,Individual,Manual,0
Activa 3g,2016,45000,54000,500,Petrol,Individual,Automatic,0
Hero Passion Pro,2016,45000,55000,1000,Petrol,Individual,Manual,0
TVS Apache RTR 160,2014,42000,81000,42000,Petrol,Individual,Manual,0
Honda CB Trigger,2013,42000,73000,12000,Petrol,Individual,Manual,0
Hero Splender iSmart,2015,40000,54000,14000,Petrol,Individual,Manual,0
Yamaha FZ S ,2012,40000,83000,5500,Petrol,Individual,Manual,0
Hero Passion Pro,2015,40000,55000,6700,Petrol,Individual,Manual,0
Bajaj Pulsar 135 LS,2014,40000,64000,13700,Petrol,Individual,Manual,0
Activa 4g,2017,40000,51000,1300,Petrol,Individual,Automatic,0
Honda CB Unicorn,2015,38000,72000,38600,Petrol,Individual,Manual,0
Hero Honda CBZ extreme,2011,38000,78700,75000,Petrol,Individual,Manual,0
Honda Karizma,2011,35000,105000,30000,Petrol,Individual,Manual,0
Honda Activa 125,2016,35000,56999,24000,Petrol,Individual,Automatic,0
TVS Jupyter,2014,35000,52000,19000,Petrol,Individual,Automatic,0
Honda Karizma,2010,31000,105000,213000,Petrol,Individual,Manual,0
Hero Honda Passion Pro,2012,30000,51000,60000,Petrol,Individual,Manual,0
Hero Splender Plus,2016,30000,48000,50000,Petrol,Individual,Manual,0
Honda CB Shine,2013,30000,57999,30000,Petrol,Individual,Manual,0
Bajaj Discover 100,2013,27000,47000,21000,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2008,25000,75000,26000,Petrol,Individual,Manual,1
Suzuki Access 125,2008,25000,57999,1900,Petrol,Individual,Automatic,0
TVS Wego,2010,25000,52000,22000,Petrol,Individual,Automatic,0
Honda CB twister,2013,25000,51000,32000,Petrol,Individual,Manual,0
Hero Glamour,2013,25000,56999,18000,Petrol,Individual,Manual,0
Hero Super Splendor,2005,20000,56999,55000,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2008,20000,75000,60000,Petrol,Individual,Manual,0
Bajaj Discover 125,2012,20000,56999,25000,Petrol,Individual,Manual,1
Hero Hunk,2007,20000,75000,49000,Petrol,Individual,Manual,1
Hero  Ignitor Disc,2013,20000,65000,24000,Petrol,Individual,Manual,1
Hero  CBZ Xtreme,2008,20000,78700,50000,Petrol,Individual,Manual,0
Bajaj  ct 100,2015,18000,32000,35000,Petrol,Individual,Manual,0
Activa 3g,2008,17000,52000,500000,Petrol,Individual,Automatic,0
Honda CB twister,2010,16000,51000,33000,Petrol,Individual,Manual,0
Bajaj Discover 125,2011,15000,56999,35000,Petrol,Individual,Manual,1
Honda CB Shine,2007,12000,57999,53000,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2006,10000,75000,92233,Petrol,Individual,Manual,0
i20,2010,325000,679000,58000,Diesel,Dealer,Manual,1
grand i10,2015,440000,570000,28200,Petrol,Dealer,Manual,0
i10,2011,295000,459999,53460,Petrol,Dealer,Manual,0
eon,2015,275000,443000,28282,Petrol,Dealer,Manual,0
grand i10,2016,525000,570000,3493,Petrol,Dealer,Manual,1
xcent,2017,575000,713000,12479,Petrol,Dealer,Manual,0
grand i10,2015,515000,570000,34797,Petrol,Dealer,Automatic,0
i20,2017,790000,810000,3435,Petrol,Dealer,Manual,0
grand i10,2015,484999,570000,21125,Diesel,Dealer,Manual,0
i10,2012,310000,459999,35775,Petrol,Dealer,Manual,0
elantra,2015,1175000,1479000,43535,Diesel,Dealer,Manual,0
creta,2016,1125000,1360000,22671,Petrol,Dealer,Manual,0
i20,2011,290000,679000,31604,Petrol,Dealer,Manual,0
grand i10,2017,525000,570000,20114,Petrol,Dealer,Manual,0
verna,2012,450000,940000,36100,Petrol,Dealer,Manual,0
eon,2016,290000,443000,12500,Petrol,Dealer,Manual,0
eon,2016,315000,443000,15000,Petrol,Dealer,Manual,0
verna,2014,645000,940000,45078,Petrol,Dealer,Manual,0
verna,2012,450000,940000,36000,Petrol,Dealer,Manual,0
eon,2017,350000,443000,38488,Petrol,Dealer,Manual,0
i20,2013,450000,679000,32000,Petrol,Dealer,Automatic,0
i20,2014,600000,760000,77632,Diesel,Dealer,Manual,0
verna,2015,825000,940000,61381,Diesel,Dealer,Manual,0
verna,2013,511000,940000,36198,Petrol,Dealer,Automatic,0
i10,2011,270000,459999,22517,Petrol,Dealer,Manual,0
grand i10,2015,525000,570000,24678,Petrol,Dealer,Manual,0
i10,2011,254999,443000,57000,Petrol,Dealer,Manual,0
verna,2012,495000,940000,60000,Diesel,Dealer,Manual,0
i20,2012,310000,679000,52132,Diesel,Dealer,Manual,0
verna,2013,615000,940000,45000,Diesel,Dealer,Manual,0
verna,2017,925000,940000,15001,Petrol,Dealer,Manual,0
elantra,2015,1145000,1479000,12900,Petrol,Dealer,Automatic,0
grand i10,2013,390000,570000,53000,Diesel,Dealer,Manual,0
grand i10,2015,550000,570000,4492,Petrol,Dealer,Manual,0
verna,2017,910000,940000,15141,Petrol,Dealer,Manual,0
eon,2016,310000,443000,11849,Petrol,Dealer,Manual,0
creta,2015,1125000,1360000,68000,Diesel,Dealer,Manual,0
verna,2013,480000,940000,60241,Petrol,Dealer,Manual,0
eon,2012,200000,443000,23709,Petrol,Dealer,Manual,0
verna,2012,535000,940000,32322,Diesel,Dealer,Manual,0
xcent,2015,475000,713000,35866,Petrol,Dealer,Manual,1
xcent,2014,440000,713000,34000,Petrol,Dealer,Manual,0
i20,2016,625000,760000,7000,Petrol,Dealer,Manual,0
verna,2013,595000,940000,49000,Diesel,Dealer,Manual,0
verna,2012,520000,940000,71000,Diesel,Dealer,Manual,0
i20,2012,375000,679000,35000,Petrol,Dealer,Manual,0
verna,2015,595000,940000,36000,Petrol,Dealer,Manual,0
i10,2013,400000,459999,30000,Petrol,Dealer,Manual,0
i20,2016,525000,760000,17000,Petrol,Dealer,Manual,0
creta,2016,1290000,1360000,35934,Diesel,Dealer,Manual,0
city,2013,500000,990000,56701,Petrol,Dealer,Manual,0
brio,2015,540000,682000,31427,Petrol,Dealer,Automatic,0
city,2014,720000,990000,48000,Diesel,Dealer,Manual,0
city,2013,525000,990000,54242,Petrol,Dealer,Manual,0
brio,2012,300000,535000,53675,Petrol,Dealer,Manual,0
city,2016,1025000,1360000,49562,Petrol,Dealer,Manual,0
city,2015,850000,1360000,40324,Petrol,Dealer,Manual,0
city,2015,840000,1360000,25000,Petrol,Dealer,Manual,0
amaze,2014,390000,700000,36054,Petrol,Dealer,Manual,0
city,2016,915000,1360000,29223,Petrol,Dealer,Manual,0
brio,2016,550000,597000,5600,Petrol,Dealer,Manual,0
amaze,2015,400000,580000,40023,Petrol,Dealer,Manual,0
jazz,2016,660000,770000,16002,Petrol,Dealer,Manual,0
amaze,2015,400000,700000,40026,Petrol,Dealer,Manual,0
jazz,2017,650000,869999,21200,Petrol,Dealer,Manual,0
amaze,2014,365000,700000,35000,Petrol,Dealer,Manual,0
city,2016,835000,940000,19434,Diesel,Dealer,Manual,0
brio,2017,480000,580000,19000,Petrol,Dealer,Manual,0
city,2015,670000,1000000,18828,Petrol,Dealer,Manual,0
city,2011,409999,1000000,69341,Petrol,Dealer,Manual,0
city,2009,300000,1000000,69562,Petrol,Dealer,Manual,0
city,2015,750000,1000000,27600,Petrol,Dealer,Manual,0
jazz,2010,225000,750000,61203,Petrol,Dealer,Manual,0
brio,2014,530000,680000,16500,Petrol,Dealer,Manual,0
city,2016,1090000,1360000,30753,Petrol,Dealer,Automatic,0
city,2015,865000,1360000,24800,Petrol,Dealer,Manual,0
city,2015,969999,1360000,21780,Petrol,Dealer,Manual,0
jazz,2016,600000,840000,4000,Petrol,Dealer,Manual,0
city,2014,625000,1360000,40126,Petrol,Dealer,Manual,0
brio,2015,525000,590000,14465,Petrol,Dealer,Manual,0
city,2006,210000,760000,50456,Petrol,Dealer,Manual,0
city,2014,825000,1400000,63000,Diesel,Dealer,Manual,0
city,2016,899000,1180000,9010,Petrol,Dealer,Manual,0
brio,2013,350000,590000,9800,Petrol,Dealer,Manual,0
jazz,2016,740000,850000,15059,Petrol,Dealer,Automatic,0
jazz,2016,565000,790000,28569,Petrol,Dealer,Manual,0
amaze,2015,575000,750000,44000,Petrol,Dealer,Automatic,0
city,2015,840000,1360000,34000,Petrol,Dealer,Manual,0
city,2016,1011000,1360000,10980,Petrol,Dealer,Manual,0
amaze,2014,450000,640000,19000,Petrol,Dealer,Manual,0
brio,2015,540000,610000,31427,Petrol,Dealer,Manual,0
jazz,2016,640000,840000,12000,Petrol,Dealer,Manual,0
city,2010,325000,990000,38000,Petrol,Dealer,Manual,0
amaze,2014,375000,680000,33019,Petrol,Dealer,Manual,0
city,2015,855000,1309000,60076,Diesel,Dealer,Manual,0
city,2016,950000,1160000,33988,Diesel,Dealer,Manual,0
brio,2015,400000,590000,60000,Petrol,Dealer,Manual,0
city,2009,335000,1100000,87934,Petrol,Dealer,Manual,0
city,2017,1150000,1250000,9000,Diesel,Dealer,Manual,0
brio,2016,530000,590000,5464,Petrol,Dealer,Manual,0
